Sentence	Writer_Anger
ぼけっとしてたらこんな時間。チャリあるから食べにでたいのに…	1
今日の月も白くて明るい。昨日より雲が少なくてキレイな〜 と立ち止まる帰り道。チャリなし生活も悪くない。	0
早寝するつもりが飲み物がなくなりコンビニへ。ん、今日、風が涼しいな。	0
眠い、眠れない。	0
ただいま〜 って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!	0
表情筋が衰えてきてる。まずいな…	0
やばい。おもろいな〜思ってみてみた「シャレードがいっぱい」。よすぎるやん。	0
おなかすいた…夜ご飯仲間募集。	0
よく寝た。暴走バスの夢見た。からだいたい。	0
最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる。この感じ定着したらパーマしよ。	0
月末ミーティング終了。いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!	1
COWCOWヨシ君の顔色が最近ずっと悪い。病気ちゃうん?心配やわ。	0
シャンプーいきたい…	0
BIGBANGの人がえみちゃんねるにでてた。今、水泳の立石が…似すぎ。どちらも、生半可に喋りが達者でちょっとウザイ。でも立石なんかすき。	0
久々に自炊した。最近すごくやせたと評判なので、ごはんがすすむおかずをたんと。二膳半たべた。よしっ!	0
雨…（笑）	0
外反母趾が悪化。なぜ?ヒール止めてるし幅広い靴しか履いてないのに。本格的に治療すっかな。	0
待ち人は来ないのではないかという疑念がふとよぎる。涼しくなったなぁ。	0
昔夢を語った仲間と数年ぶりの再会!相変わらず、だったけど少し大人になっていた僕ら、だった。それぞれの道で頑張っててきっと色々あるけど、昔みたいに笑える時間が嬉しかった。昔見た未来まであと4年。がんばろ。	0
みんな幸せになったらいいなって、なんか普通にそう思う。日曜と月曜と火曜会った人たちありがとう。また明日からがんばろう。オヤスミナサイ	0
回鍋肉を作るつもりで何か違うやつになった。でもウマい!ウマすぎるぜ回鍋肉じゃないやつ!!	0
朝はパンケーキとサンドイッチ、昼はお弁当とサンドイッチ、夜は回鍋肉とごはんとパンケーキ。昨日焼いたチョコケーキがもう残り30度…好きなものを好きなときにたべるんだ!明日も焼こ。	0
天地明察みたいな〜おもろいんかな?	0
不確かな夜風が待ち人連れ去りぬ。−−−ふと、待ち人は来ないのではないかという疑念に駆られる。微かに絡みつく風に、煮え切らない自分の心を見たようで。…うーむ。いいねぇ。	0
投げかけたものは返ってくるので、なるべく良いものを投げていたいと思う。しかし時には叶わないことがある。そういったとき、自分は試されていると感じる。そしてたいていの場合、私はその試練に敗ける。	0
肉まん、サーモンロール、茶碗蒸し、納豆、シナモンロール。暇やからって食べ過ぎた…(●´з｀●)	0
次の月曜の19時から落語観たい人〜??	0
ヤバい!2700のBO0WY!!	0
最強の二人、夢売る二人、愛と誠。観たい映画、メモ…	0
ごくありきたりで俗っぽくて申し訳ないのですが、ミランダ・カーめっちゃ可愛い!めっちゃ好き!いつまでも見てられる…お子様もまたデカくて可愛いんだ!	0
腰をイワしています。痛み止め飲んでるからか四六時中眠い。いける日は整骨院でほぐしてもらうけど、今日明日休みやん。テーピングもかゆくなってはがしたし、明日は文字通り丸腰。夜までもってくれ、腰!	0
落語…どしよかな…それか映画いこかな。	0
結局映画にも落語にも整体にも行けず、せめて夕飯はと思ったのに怠けグセがついて、出前とってしまった。全力で安静中♪	0
眠いのに眠れない…	0
今日のアボカドはあじひとで食べるかな!誰か釣れるかな!	0
自己否定感が強い人は他人も否定する。批判の多いのは、自分に自信がないと宣伝しているようなものだ。自己肯定の人は、周りがなにを言っても気にならない。それはそれと受け止めるのだ。	0
今日カラーをしてもらったら鬼太郎ぽくなった。仕事帰りに会った数名の知人にはいいやん!と言ってもらえて少し安心した。でもね、ほんまはちょっとちゃうかな〜って思ってるねん。ま、来週まで楽しむか。	0
鬼太郎ぽい体型の女子って…	0
うどんとラーメンハシゴしておなかパンパン!初、丸亀製麺からの彦ェ門!あっさりとんこつで完食!その筋では有名店らしい	0
なすの田楽食べたいな〜	0
ご飯食べにいきたい…でも、もう眠いよパトラッシュ…	0
腰が痛い日々を送っています。色んなことが段々面倒になってきた。昨日の晩から数えて初めての食事。エビマヨ!アボカド!サーモン!鶏トマト煮!ふじいちでカロリーを取り戻す!	0
天王寺ぶらり。あわよくば映画みてやろ〜!程よくおなかも空いてきたし、一人でもいけそーないい感じの店あったら教えて〜!	0
こんな時間に鴨つけうどん!ゆずピール入ってて結構おいしい!やるななか卯。	0
経済ジャーナリスト金子さん(ほんまでっか出演)の訃報にびっくり。病気みたい。ご冥福をお祈りいたします。	0
何でもないようなことが幸せだったと思う〜何でもない夜のこと、腰痛で寝れないよーる〜	0
